x,y,z,x_c,y_c,z_c,altG,lonG,latG,dop,hdop,altP
2967,-229,602,2961,-239,605,301,19552048,50045944,523,50,263912,
2968,-228,601,2961,-239,605,301,19552048,50045944,523,50,263656,
2963,-225,609,2960,-239,605,301,19552048,50045944,523,50,263656,
2982,-232,581,2960,-239,605,301,19552048,50045944,523,50,263400,
2956,-212,624,2960,-238,605,301,19552048,50045944,523,50,263656,
2967,-229,605,2960,-239,605,301,19552048,50045944,523,50,263400,
2968,-220,609,2961,-238,605,301,19552048,50045944,523,50,263656,
2969,-228,604,2961,-238,605,301,19552048,50045944,523,50,263058,
2980,-229,592,2960,-238,605,301,19552048,50045944,523,23,263058,
2943,-252,615,2961,-238,605,301,19552048,50045944,55,23,263400,
2977,-235,592,2960,-238,605,301,19552048,50045944,55,23,262802,
2972,-236,595,2960,-238,605,301,19552048,50045944,55,23,263058,
2972,-232,595,2960,-238,605,301,19552048,50045944,55,23,263656,
2958,-227,614,2960,-239,605,301,19552048,50045944,55,23,263912,
2962,-238,604,2961,-238,605,301,19552048,50045944,55,23,263656,
2969,-236,598,2961,-238,605,301,19552048,50045944,55,23,263656,
2968,-240,595,2961,-239,605,301,19552048,50045944,55,23,263656,
2960,-228,610,2960,-238,605,301,19552048,50045944,55,23,263656,
2966,-246,594,2960,-239,605,301,19552048,50045944,55,23,262546,
2955,-229,613,2960,-239,605,301,19552048,50045944,55,23,263058,
2975,-225,593,2960,-239,605,301,19552048,50045944,55,23,263912,
2965,-231,603,2960,-238,605,301,19552048,50045944,55,23,264169,
2954,-234,612,2960,-238,605,301,19552048,50045944,55,23,263058,
2959,-225,615,2960,-238,605,301,19552048,50045944,55,23,263400,
2979,-233,586,2960,-238,605,301,19552048,50045944,55,23,263912,
2958,-237,608,2960,-239,605,301,19552048,50045944,55,23,264425,
2981,-232,586,2960,-238,605,301,19552048,50045944,55,23,263912,
2974,-231,596,2961,-238,605,301,19552048,50045944,55,23,263912,
2975,-242,591,2960,-238,605,301,19552048,50045944,55,23,263656,
2964,-234,606,2960,-238,605,301,19552048,50045944,55,23,263656,
2967,-231,603,2960,-238,605,301,19552048,50045944,55,23,263058,
2967,-241,597,2960,-238,605,301,19552048,50045944,55,23,263400,
2967,-221,608,2959,-239,605,301,19552048,50045944,55,23,264169,
2970,-235,601,2960,-238,605,301,19552048,50045944,55,23,263058,
2958,-234,611,2960,-238,605,301,19552048,50045944,55,23,263656,
2966,-235,603,2960,-239,605,301,19552048,50045944,55,23,263400,
2959,-233,608,2959,-239,605,301,19552048,50045944,55,23,263912,
2959,-233,608,2959,-239,605,301,19552048,50045944,55,23,264425,
2962,-244,601,2959,-238,605,301,19552048,50045944,55,23,264425,
2973,-249,584,2959,-238,605,301,19552048,50045944,55,23,263656,
2965,-228,605,2960,-238,605,301,19552048,50045944,55,23,263912,
2971,-233,595,2960,-238,605,301,19552048,50045944,55,23,263400,
2968,-245,590,2960,-239,605,301,19552048,50045944,55,23,263400,
2962,-234,603,2961,-238,605,301,19552048,50045944,55,23,264169,
2961,-239,604,2960,-238,605,301,19552048,50045944,55,23,263656,
2968,-237,596,2960,-238,605,301,19552048,50045944,55,23,264169,
2971,-241,591,2960,-238,605,301,19552048,50045944,55,23,264681,
2968,-224,605,2960,-238,604,301,19552048,50045944,55,23,264169,
2957,-243,606,2960,-238,605,301,19552048,50045944,55,23,263656,
2970,-231,600,2960,-239,605,301,19552048,50045944,55,23,263656,
2964,-242,601,2960,-239,605,301,19552048,50045944,55,23,264425,
2966,-231,606,2960,-239,605,301,19552048,50045944,55,23,264169,
2964,-241,601,2960,-239,605,301,19552048,50045944,55,23,263656,
2954,-237,614,2960,-239,605,301,19552048,50045944,55,23,263912,
2971,-238,596,2960,-239,605,301,19552048,50045944,55,23,263656,
2966,-230,605,2959,-238,605,301,19552048,50045944,55,23,263656,
2960,-236,608,2959,-238,605,301,19552048,50045944,55,23,263400,
2959,-230,610,2960,-238,604,301,19552048,50045944,55,23,263400,
2958,-234,611,2960,-238,605,301,19552048,50045944,55,23,263912,
2962,-234,606,2959,-238,605,301,19552048,50045944,55,23,263656,
2968,-233,599,2958,-239,605,301,19552048,50045944,55,23,264169,
2968,-230,602,2959,-238,605,301,19552048,50045944,55,23,263656,
2962,-235,605,2959,-238,605,301,19552048,50045944,55,23,263656,
2966,-227,604,2959,-239,605,301,19552048,50045944,55,23,263912,
2958,-230,610,2959,-238,605,301,19552048,50045944,55,23,263400,
2962,-234,605,2959,-238,606,301,19552048,50045944,55,23,264169,
2955,-229,614,2959,-239,606,301,19552048,50045944,55,23,263058,
2968,-228,602,2959,-239,606,301,19552048,50045944,55,23,263400,
2961,-226,612,2959,-239,606,301,19552048,50045944,55,23,263656,
2966,-206,618,2959,-238,606,301,19552048,50045944,55,23,263656,
2980,-209,603,2960,-238,606,301,19552048,50045944,55,23,263656,
2963,-233,604,2960,-239,606,301,19552048,50045944,55,23,263400,
2958,-238,609,2960,-239,606,301,19552048,50045944,55,23,263656,
2960,-240,606,2959,-239,606,301,19552048,50045944,55,23,264169,
2958,-234,612,2960,-238,606,301,19552048,50045944,55,23,263656,
2962,-230,609,2959,-238,606,301,19552048,50045944,55,23,263912,
2958,-238,609,2959,-238,606,301,19552048,50045944,55,23,263656,
2955,-237,610,2960,-238,605,301,19552048,50045944,55,23,263656,
2966,-234,600,2960,-239,605,301,19552048,50045944,55,23,263400,
2962,-231,606,2959,-239,605,301,19552048,50045944,55,23,263656,
2959,-230,611,2959,-239,605,301,19552048,50045944,55,23,263656,
2960,-229,609,2959,-239,606,301,19552048,50045944,55,23,263912,
2965,-232,602,2959,-238,605,301,19552048,50045944,55,23,263400,
2959,-234,609,2960,-239,605,301,19552048,50045944,55,23,263656,
2958,-237,607,2959,-239,606,301,19552048,50045944,55,23,263912,
2954,-226,617,2958,-238,606,301,19552048,50045944,55,23,263400,
2967,-241,596,2959,-238,606,301,19552048,50045944,55,23,264169,
2950,-235,616,2959,-238,606,301,19552048,50045944,55,23,263058,
2960,-228,610,2958,-238,606,301,19552048,50045944,55,23,263400,
2969,-232,600,2959,-238,606,301,19552048,50045944,55,23,263058,
2963,-237,605,2959,-239,606,301,19552048,50045944,55,23,263912,
2965,-232,603,2960,-239,606,301,19552048,50045944,55,23,263656,
2973,-240,592,2960,-238,606,301,19552048,50045944,55,23,263656,
2967,-247,595,2960,-239,606,301,19552048,50045944,55,23,263912,
2959,-242,606,2960,-239,606,301,19552048,50045944,55,23,263656,
2979,-238,586,2960,-239,605,301,19552048,50045944,55,23,263912,
2966,-239,600,2959,-238,605,301,19552048,50045944,55,23,263912,
2961,-236,608,2960,-239,605,301,19552048,50045944,55,23,264425,
2962,-239,606,2960,-239,605,301,19552048,50045944,55,23,263656,
2968,-233,603,2960,-238,605,301,19552048,50045944,55,23,263656,
2962,-218,617,2960,-238,605,301,19552048,50045944,55,23,264169,
2958,-227,615,2960,-238,605,301,19552048,50045944,55,23,263912,
2971,-241,592,2960,-238,605,301,19552048,50045944,55,23,264169,
2958,-234,612,2960,-238,605,301,19552048,50045944,55,23,264169,
2962,-218,613,2960,-238,605,301,19552048,50045944,55,23,263656,
2958,-230,610,2960,-238,605,301,19552048,50045944,55,23,263912,
2971,-243,590,2960,-238,604,301,19552048,50045944,55,23,263400,
2979,-233,589,2960,-238,604,301,19552048,50045944,55,23,263400,
2958,-226,613,2960,-238,605,301,19552048,50045944,55,23,263656,
2959,-233,607,2960,-238,605,301,19552048,50045944,55,23,263656,
2962,-238,603,2961,-238,604,301,19552048,50045944,55,23,263656,
2969,-224,603,2960,-238,605,301,19552048,50045944,55,23,264169,
